what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317696134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317701243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317712543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343317748489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317751668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317765533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317767491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317768518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317853072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317853461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317854835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317885323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317886650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317893636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317894762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317895716
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343317895728
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343317896735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317908298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317917971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317931594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317937979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317952935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317953349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317958522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317971652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343317980175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343317982785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318003827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318006517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318006872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318008329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318028076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318073952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318077258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343318079777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318136016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318136109
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343318181354
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343318182273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343318258212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343318259720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343318260397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343318261920
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1343318291660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318318671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318320092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318323855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343318359089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343318374343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343318376853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343322109898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343322110678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343322121980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343322221574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343322296794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343322299299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343322979706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343322984932
error,log,,,"Failed to load properties file for project 'Tetris'",1343322996036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343322996111
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343322998531
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343323007728
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343323007826
