what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336760994
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343336766608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343336770528
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343336825627
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1343336829133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336830127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336831874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343336833329
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343336833795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336836530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336837149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336838566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336848467
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343336853481
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1343336855161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336856087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336857916
error,log,,,"Unhandled event loop exception",1343336858003
error,log,,,"Unhandled event loop exception",1343336858009
error,log,,,"Unhandled event loop exception",1343336858014
error,log,,,"Unhandled event loop exception",1343336858325
error,log,,,"Unhandled event loop exception",1343336858633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343336858873
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343336859347
error,log,,,"Unhandled event loop exception",1343336859541
error,log,,,"Unhandled event loop exception",1343336860042
error,log,,,"Unhandled event loop exception",1343336860046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336862316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336862404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336863627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336873731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336879353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336894381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336894579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336900016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343336905117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343336996847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337069349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337070367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337075753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343337097395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343337098939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337121230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337136874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337137238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337142610
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1343337144961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337156301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337157889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337172747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337174544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337182757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337184052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337184160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337184849
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337185311
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1343337187354
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1343337187392
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1343337187428
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1343337187456
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1343337187522
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1343337187552
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1343337187568
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1343337187597
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1343337217426
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1343337217428
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1343337217470
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1343337217584
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1343337217648
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1343337217678
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1343337217714
