what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343743520607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343743526745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343743543595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343743588681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343743647810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343743649231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343743942017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343743943283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343743943537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343743945710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343744011560
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343744012814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343744013543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343744013872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343744015341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343744035128
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343744038199
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343744039044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343744040265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343744040600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343744042581
