what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063181100
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1343063185963
error,log,,,"Unhandled event loop exception",1343063186235
error,log,,,"Unhandled event loop exception",1343063186505
error,log,,,"Unhandled event loop exception",1343063186507
error,log,,,"Unhandled event loop exception",1343063186937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063192023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063198328
error,log,,,"Unhandled event loop exception",1343063198491
error,log,,,"Unhandled event loop exception",1343063198493
error,log,,,"Unhandled event loop exception",1343063198496
error,log,,,"Unhandled event loop exception",1343063198554
error,log,,,"Unhandled event loop exception",1343063198945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063204567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063208312
error,log,,,"Unhandled event loop exception",1343063208484
error,log,,,"Unhandled event loop exception",1343063208487
error,log,,,"Unhandled event loop exception",1343063208564
error,log,,,"Unhandled event loop exception",1343063208949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063219108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063221528
error,log,,,"Unhandled event loop exception",1343063221684
error,log,,,"Unhandled event loop exception",1343063221686
error,log,,,"Unhandled event loop exception",1343063221688
error,log,,,"Unhandled event loop exception",1343063221762
error,log,,,"Unhandled event loop exception",1343063222490
error,log,,,"Unhandled event loop exception",1343063225668
error,log,,,"Unhandled event loop exception",1343063225747
error,log,,,"Unhandled event loop exception",1343063226021
error,log,,,"Unhandled event loop exception",1343063226041
error,log,,,"Unhandled event loop exception",1343063226549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063234134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063234287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063234932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063240476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063244543
error,log,,,"Unhandled event loop exception",1343063244712
error,log,,,"Unhandled event loop exception",1343063244714
error,log,,,"Unhandled event loop exception",1343063244765
error,log,,,"Unhandled event loop exception",1343063245486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063249240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343063253208
error,log,,,"Unhandled event loop exception",1343063253375
error,log,,,"Unhandled event loop exception",1343063253377
error,log,,,"Unhandled event loop exception",1343063253439
error,log,,,"Unhandled event loop exception",1343063254006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063259420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063264182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063268940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063269117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343063269819
