what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343323625276
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343323627084
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343323627178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343323756572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343323791834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343323826066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324369687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343324402554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343324402882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324423526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324424119
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1343324429970
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1343324430920
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343324461466
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324462909
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324463813
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324469339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343324474286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343324475296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343324476220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343324476860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343324477189
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343324492869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343324494475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324544166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324605691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324607181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324610278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324618348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324922228
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343324924203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324949194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324963507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324963652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325090134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325091491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325108630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325111714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325111795
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343325111812
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343325111978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325133124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325135263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343325137264
error,log,,,"Unhandled event loop exception",1343325137290
error,log,,,"Unhandled event loop exception",1343325137300
error,log,,,"Unhandled event loop exception",1343325137305
error,log,,,"Unhandled event loop exception",1343325137312
error,log,,,"Unhandled event loop exception",1343325137317
error,log,,,"Unhandled event loop exception",1343325137321
error,log,,,"Unhandled event loop exception",1343325137429
error,log,,,"Unhandled event loop exception",1343325137979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325143695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325145710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325151146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325152943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343325155635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325156933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325158585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325163616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325165318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325169879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325171900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325178292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325180086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325188527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325190788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325198546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343325225649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343325228251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343325228572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343325228906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343325229277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343325230886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343325232349
