what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343314286651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343314287803
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343314291974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343314294093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343314299225
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343314299254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343314302809
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343314304452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343314584139
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1343314598373
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1343314599157
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1343314599492
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1343314599884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343314632958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343314634086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343314634451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343314634826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343314913738
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343314916847
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343314918214
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343314967534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343314980686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315173928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315174967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315177542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315184377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343315188895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315215194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315238444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315245605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315330364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343315339235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343315341352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315348095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315350148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315361743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315362234
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1343315364190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315375494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315377525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315377526
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1343315385051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315388148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315483662
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315483704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343315486348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343315496054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343315496777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315500461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315500532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315502528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315503216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315506395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315518280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343315530506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315532539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315736796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343315816399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315819489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315831213
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343315831231
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315831945
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315832946
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315840223
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315843688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315854093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315854848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315865688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315894554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315903681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315907763
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315914591
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315924330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315936296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315936426
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315938331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343315942025
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315943148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343315945103
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315946558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343315957744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315958500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343315960225
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315962028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343315969221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343315978643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343315981797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315990426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315990527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315994725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343315994752
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343316001057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343316003482
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343316003919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343316005332
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343316008175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343316016764
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343316018944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343316023476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343316047978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343316048268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343316048651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343316048991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343316049355
