what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663762525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1343663762552
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663763028
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663763028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1343663763048
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343663771007
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663771223
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663771358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663773300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663775829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663780332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663786893
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1343663790304
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663792235
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343663795151
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343663795703
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343663795821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663808983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663812382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663814722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663816223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663817492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663821876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663828209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663830553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343663832572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663837610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663841369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663846555
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1343663854824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663859435
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1343663863688
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343663866814
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343663867364
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663874539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343663883944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343663887036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343663889913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343663893648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663896856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663909431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343663947828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343663951464
